YEAR,MONTH,DAY,TMAX,TMIN
2016,9,4,27,24.4
2016,9,5,31.2,24.4
2016,9,6,32.8,25.2
2016,9,7,32.4,24.6
2016,9,8,33.3,23.8
2016,9,9,33,24.6
2016,9,10,33,25.6
2016,9,11,33.1,25.4
2016,9,12,33.2,23.4
2016,9,13,30.6,24.4
2016,9,14,29.8,25
2016,9,15,31.2,25.4
2016,9,16,31.6,25.6
2016,9,17,30.8,24.8
2016,9,18,31,24.2
2016,9,19,31.4,24.2
2016,9,20,31,25
2016,9,21,31.1,25
2016,9,22,32,25.2
2016,9,23,33.4,24.2
2016,9,24,33.6,25.2
2016,9,25,34.2,25
2016,9,26,31,25
2016,9,27,30.4,25
2016,9,28,27.6,24
2016,9,29,26,23.6
2016,9,30,27,22.8
2016,10,1,32,23.4
2016,10,2,30.6,24.2
2016,10,3,31.4,24
2016,10,4,32.4,24
2016,10,5,32,24
2016,10,6,31.4,24.6
2016,10,7,25.8,24.4
2016,10,8,28,24.2
2016,10,9,31.2,25.2
2016,10,10,30.6,24.2
2016,10,11,31.9,25
2016,10,12,31,24
2016,10,13,31.2,23.8
2016,10,14,31.8,24.2
2016,10,15,31.2,24.2
2016,10,16,26.2,23.8
2016,10,17,31,24.6
2016,10,18,32.4,25.3
2016,10,19,31.7,25.3
2016,10,20,29.6,24.6
2016,10,21,31.7,25.8
2016,10,22,33.2,25.2
2016,10,23,33.2,26
2016,10,24,32.8,24.4
2016,10,25,32.3,25.3
2016,10,26,32.2,24.8
2016,10,27,33,25.2
2016,10,28,32.2,25.8
2016,10,29,33.2,24.4
2016,10,30,32.2,23.2
2016,10,31,33.2,25
2016,11,1,32.6,25.8
2016,11,2,31.8,26
2016,11,3,31.5,24.4
2016,11,4,31,24
2016,11,5,32.8,25
2016,11,6,32.4,24
2016,11,7,31.7,22.6
2016,11,8,30.8,22
2016,11,9,30.9,22.2
2016,11,10,31.2,24.8
2016,11,11,31,23.8
2016,11,12,31.4,24.7
2016,11,13,33.2,23.8
2016,11,14,32.2,24.8
2016,11,15,30.7,24.3
2016,11,16,31,24.8
2016,11,17,32.2,25.7
2016,11,18,30.4,24.8
2016,11,19,28.8,24
2016,11,20,31.4,24.2
2016,11,21,32.2,22.2
2016,11,22,32,23.8
2016,11,23,31.8,23.4
2016,11,24,30,25
2016,11,25,29.6,23
2016,11,26,26.4,23.5
2016,11,27,30.4,25.2
2016,11,28,32,24.5
2016,11,29,31.4,23.8
2016,11,30,31.2,24
2016,12,1,31.9,24.3
2016,12,2,31.8,23.6
2016,12,3,32.2,24.4
2016,12,4,31.3,24.8
2016,12,5,31,23.3
2016,12,6,32.4,24.6
2016,12,7,31.4,23.8
2016,12,8,30.6,24.5
2016,12,9,30.5,24.8
2016,12,10,32.2,25.2
2016,12,11,32.2,24.2
2016,12,12,31.8,25.3
2016,12,13,31.1,24.8
2016,12,14,30.4,24.4
2016,12,15,28.6,24.8
2016,12,16,29.2,23.2
2016,12,17,28.4,23.6
2016,12,18,29.6,24.2
2016,12,19,30.9,24.8
2016,12,20,32.3,24.8
2016,12,21,31.2,23
2016,12,22,32.6,22.6
2016,12,23,31.7,23.8
2016,12,24,31,23.6
2016,12,25,33.3,24.2
2016,12,26,26.4,24.8
2016,12,27,31.8,25.4
2016,12,28,31.2,24.6
2016,12,29,31.6,24.3
2016,12,30,31,24
2016,12,31,31.4,23.4
2017,1,1,30,22.7
2017,1,2,31.2,23
2017,1,3,31.2,23
2017,1,4,30.8,24.6
2017,1,5,30.4,23
2017,1,6,31,23.8
2017,1,7,30.4,20.8
2017,1,8,30,21.9
2017,1,9,30.8,24.4
2017,1,10,28.4,23.2
2017,1,11,28.5,22.8
2017,1,12,28.4,22.6
2017,1,13,32,22.8
2017,1,14,31.6,23.5
2017,1,15,30.4,23.2
2017,1,16,28.6,21.6
2017,1,17,27.9,22.2
2017,1,18,30.1,21.7
2017,1,19,30.7,22
2017,1,20,30,22
2017,1,21,30.4,22
2017,1,22,29.8,22.7
2017,1,23,26.6,22.5
2017,1,24,27.5,22.4
2017,1,25,28,21.8
2017,1,26,29.4,21.2
2017,1,27,28.5,21
2017,1,28,28.2,23
2017,1,29,29.7,24.2
2017,1,30,31.2,24.4
2017,1,31,31.7,24.8
2017,2,1,31.4,23.2
2017,2,2,29.4,23
2017,2,3,29,21
2017,2,4,29.8,21.8
2017,2,5,31.2,22.8
2017,2,6,30.4,21.8
2017,2,7,30.8,21.9
2017,2,8,31,22.4
2017,2,9,31,22
2017,2,10,30.4,20.8
2017,2,11,28.7,20
2017,2,12,29.2,19.8
2017,2,13,27.4,19
2017,2,14,28.4,19
2017,2,15,28.6,20.4
2017,2,16,30,21.6
2017,2,17,28.9,23.8
2017,2,18,31,24.2
2017,2,19,28.9,22
2017,2,20,32,23.6
2017,2,21,32,22.8
2017,2,22,31.6,22.9
2017,2,23,33.8,23.8
2017,2,24,32.4,24.2
2017,2,25,32.2,23.4
2017,2,26,32.1,24.4
2017,2,27,32.2,23.6
2017,2,28,31.4,23.6
2017,3,1,33.2,24.6
2017,3,2,31.4,23
2017,3,3,32,23.1
2017,3,4,28.4,23.4
2017,3,5,32,21
2017,3,6,33.8,22.6
2017,3,7,31.8,23
2017,3,8,32.2,23.2
2017,3,9,31.2,21.8
2017,3,10,32.8,22
2017,3,11,33.4,23.2
2017,3,12,34,23.2
2017,3,13,35.4,24.6
2017,3,14,35.4,24.6
2017,3,15,33.6,24.2
2017,3,16,31.8,23
2017,3,17,31.6,23
2017,3,18,32.4,23
2017,3,19,32.2,22.2
2017,3,20,32.6,22.4
2017,3,21,32,24.4
2017,3,22,33,25
2017,3,23,35.2,26.2
2017,3,24,34.9,25.2
2017,3,25,35.2,24.4
2017,3,26,35.4,25.2
2017,3,27,32.4,24.6
2017,3,28,31.2,23.2
2017,3,29,33.1,23.9
2017,3,30,33,22.8
2017,3,31,35,24
2017,4,1,34.2,24.8
2017,4,2,31,22
2017,4,3,30.1,21.6
2017,4,4,30.8,22.2
2017,4,5,32,22.4
2017,4,6,32.6,23.7
2017,4,7,35.1,24.9
2017,4,8,34.4,25.2
2017,4,9,34.2,26.5
